Año,Trimestre,Provincia,Accesos por cada 100 hab,Total suma Mbps,CrecimientoAcceso
2022,2,Río Negro,20,159764,0.0
2022,3,Río Negro,20,160558,0.0
2022,4,Río Negro,21,162092,5.0
2021,1,Río Negro,18,141168,0.0
2021,2,Río Negro,19,144084,5.56
2021,3,Río Negro,19,144585,0.0
2021,4,Río Negro,20,153753,5.26
2020,1,Río Negro,16,126927,-5.88
2020,2,Río Negro,17,129486,6.25
2020,3,Río Negro,17,131467,0.0
2020,4,Río Negro,18,141210,5.88
2019,1,Río Negro,16,120826,6.67
2019,2,Río Negro,18,138429,12.5
2019,3,Río Negro,19,144243,5.56
2019,4,Río Negro,17,127140,-10.53
2018,1,Río Negro,15,111239,0.0
2018,2,Río Negro,15,112129,0.0
2018,3,Río Negro,15,113504,0.0
2018,4,Río Negro,15,116837,0.0
2017,1,Río Negro,14,105033,0.0
2017,2,Río Negro,14,105379,0.0
2017,3,Río Negro,14,105009,0.0
2017,4,Río Negro,15,109678,7.14
2016,1,Río Negro,14,101921,0.0
2016,2,Río Negro,14,105131,0.0
2016,3,Río Negro,14,104771,0.0
2016,4,Río Negro,14,104779,0.0
2015,1,Río Negro,13,97227,0.0
2015,2,Río Negro,14,98689,7.69
2015,3,Río Negro,14,100508,0.0
2015,4,Río Negro,14,101122,0.0
2014,1,Río Negro,13,94736,0.0
2014,2,Río Negro,13,95610,0.0
2014,3,Río Negro,14,97745,7.69
2014,4,Río Negro,13,95904,-7.14
2023,1,Neuquén,23,160412,0.0
2023,2,Neuquén,23,161746,0.0
2023,3,Neuquén,23,164273,0.0
2022,1,Neuquén,22,149679,4.76
2022,2,Neuquén,23,161968,4.55
2022,3,Neuquén,23,163161,0.0
2022,4,Neuquén,23,160180,0.0
2021,1,Neuquén,19,133235,0.0
2021,2,Neuquén,20,138250,5.26
2021,3,Neuquén,20,139809,0.0
2021,4,Neuquén,21,147466,5.0
2020,1,Neuquén,18,122214,5.88
2020,2,Neuquén,19,126172,5.56
2020,3,Neuquén,19,129235,0.0
2020,4,Neuquén,19,133135,0.0
2019,1,Neuquén,17,114242,0.0
2019,2,Neuquén,18,122886,5.88
2019,3,Neuquén,19,124898,5.56
2019,4,Neuquén,17,116445,-10.53
2018,1,Neuquén,18,116746,0.0
2018,2,Neuquén,17,114668,-5.56
2018,3,Neuquén,18,115935,5.88
2018,4,Neuquén,17,114365,-5.56
2017,1,Neuquén,18,107491,5.88
2017,2,Neuquén,18,109586,0.0
2017,3,Neuquén,18,109276,0.0
2017,4,Neuquén,18,115843,0.0
2016,1,Neuquén,16,98453,-5.88
2016,2,Neuquén,17,104778,6.25
2016,3,Neuquén,17,106026,0.0
2016,4,Neuquén,17,106093,0.0
2015,1,Neuquén,15,89574,0.0
2015,2,Neuquén,15,92324,0.0
2015,3,Neuquén,16,95867,6.67
2015,4,Neuquén,17,102039,6.25
2014,1,Neuquén,14,83958,0.0
2014,2,Neuquén,15,86237,7.14
2014,3,Neuquén,16,87720,6.67
2014,4,Neuquén,15,89228,-6.25
2023,1,Misiones,14,190685,0.0
2023,2,Misiones,15,195471,7.14
2023,3,Misiones,15,197135,0.0
2022,1,Misiones,13,171508,0.0
2022,2,Misiones,13,178813,0.0
2022,3,Misiones,14,182157,7.69
2022,4,Misiones,14,186269,0.0
2021,1,Misiones,11,149387,0.0
2021,2,Misiones,12,156176,9.09
2021,3,Misiones,12,158528,0.0
2021,4,Misiones,13,171132,8.33
2020,1,Misiones,10,133700,0.0
2020,2,Misiones,11,140340,10.0
2020,3,Misiones,11,143186,0.0
2020,4,Misiones,11,147161,0.0
2019,1,Misiones,9,125633,0.0
2019,2,Misiones,10,130052,11.11
2019,3,Misiones,10,131099,0.0
2019,4,Misiones,10,135813,0.0
2018,1,Misiones,8,103542,0.0
2018,2,Misiones,8,108699,0.0
2018,3,Misiones,8,110594,0.0
2018,4,Misiones,9,116273,12.5
2017,1,Misiones,8,97621,0.0
2017,2,Misiones,8,99796,0.0
2017,3,Misiones,8,100526,0.0
2017,4,Misiones,8,103895,0.0
2016,1,Misiones,7,92927,0.0
2016,2,Misiones,7,96832,0.0
2016,3,Misiones,8,97998,14.29
2016,4,Misiones,8,97392,0.0
2015,1,Misiones,7,85150,16.67
2015,2,Misiones,7,88524,0.0
2015,3,Misiones,7,91624,0.0
2015,4,Misiones,7,92855,0.0
2014,1,Misiones,6,73954,0.0
2014,2,Misiones,6,74689,0.0
2014,3,Misiones,6,75322,0.0
2014,4,Misiones,6,77229,0.0
2023,1,Mendoza,14,293019,0.0
2023,2,Mendoza,14,297676,0.0
2023,3,Mendoza,14,298022,0.0
2022,1,Mendoza,13,275185,0.0
2022,2,Mendoza,13,279562,0.0
2022,3,Mendoza,14,289523,7.69
2022,4,Mendoza,14,292104,0.0
2021,1,Mendoza,10,218923,0.0
2021,2,Mendoza,11,229671,10.0
2021,3,Mendoza,12,255939,9.09
2021,4,Mendoza,13,267587,8.33
2020,1,Mendoza,9,176960,0.0
2020,2,Mendoza,10,201184,11.11
2020,3,Mendoza,10,207788,0.0
2020,4,Mendoza,10,215453,0.0
2019,1,Mendoza,10,215979,0.0
2019,2,Mendoza,11,222260,10.0
2019,3,Mendoza,11,222774,0.0
2019,4,Mendoza,9,185780,-18.18
2018,1,Mendoza,10,200927,11.11
2018,2,Mendoza,10,200932,0.0
2018,3,Mendoza,10,208201,0.0
2018,4,Mendoza,10,206304,0.0
2017,1,Mendoza,8,177485,0.0
2017,2,Mendoza,8,177505,0.0
2017,3,Mendoza,9,158818,12.5
2017,4,Mendoza,9,180154,0.0
2016,1,Mendoza,8,175744,-11.11
2016,2,Mendoza,8,177519,0.0
2016,3,Mendoza,8,178376,0.0
2016,4,Mendoza,8,177477,0.0
2015,1,Mendoza,9,170145,0.0
2015,2,Mendoza,9,170821,0.0
2015,3,Mendoza,9,173792,0.0
2015,4,Mendoza,9,175080,0.0
2014,1,Mendoza,8,166740,0.0
2014,2,Mendoza,8,166807,0.0
2014,3,Mendoza,8,167855,0.0
2014,4,Mendoza,9,169611,12.5
2023,1,La Rioja,21,86405,0.0
2023,2,La Rioja,21,86972,0.0
2023,3,La Rioja,21,87701,0.0
2022,1,La Rioja,20,84303,0.0
2022,2,La Rioja,21,86030,5.0
2022,3,La Rioja,21,86864,0.0
2022,4,La Rioja,21,86262,0.0
2021,1,La Rioja,13,52628,0.0
2021,2,La Rioja,20,81602,53.85
2021,3,La Rioja,20,82160,0.0
2021,4,La Rioja,20,83128,0.0
2020,1,La Rioja,12,48345,0.0
2020,2,La Rioja,13,52155,8.33
2020,3,La Rioja,13,52616,0.0
2020,4,La Rioja,13,52778,0.0
2019,1,La Rioja,13,51653,0.0
2019,2,La Rioja,12,50304,-7.69
2019,3,La Rioja,12,49678,0.0
2019,4,La Rioja,12,49002,0.0
2018,1,La Rioja,13,52242,0.0
2018,2,La Rioja,13,51945,0.0
2018,3,La Rioja,13,51869,0.0
2018,4,La Rioja,13,51651,0.0
2017,1,La Rioja,4,16224,0.0
2017,2,La Rioja,4,16288,0.0
2017,3,La Rioja,13,51924,225.0
2017,4,La Rioja,13,52195,0.0
2016,1,La Rioja,4,16691,0.0
2016,2,La Rioja,4,16746,0.0
2016,3,La Rioja,4,16935,0.0
2016,4,La Rioja,4,16315,0.0
2015,1,La Rioja,4,16334,0.0
2015,2,La Rioja,4,16509,0.0
2015,3,La Rioja,4,16771,0.0
2015,4,La Rioja,4,16932,0.0
2014,1,La Rioja,4,15711,0.0
2014,2,La Rioja,4,15912,0.0
2014,3,La Rioja,4,15913,0.0
2014,4,La Rioja,4,16402,0.0
2023,1,La Pampa,31,116504,0.0
2023,2,La Pampa,32,118910,3.23
2023,3,La Pampa,32,119921,0.0
2022,1,La Pampa,30,109732,3.45
2022,2,La Pampa,30,111527,0.0
2022,3,La Pampa,31,116092,3.33
2022,4,La Pampa,31,114164,0.0
2021,1,La Pampa,26,97105,0.0
2021,2,La Pampa,27,97667,3.85
2021,3,La Pampa,27,100487,0.0
2021,4,La Pampa,29,107007,7.41
2020,1,La Pampa,24,89145,-4.0
2020,2,La Pampa,25,89809,4.17
2020,3,La Pampa,26,93735,4.0
2020,4,La Pampa,26,96895,0.0
2019,1,La Pampa,25,87085,4.17
2019,2,La Pampa,25,90223,0.0
2019,3,La Pampa,25,90826,0.0
2019,4,La Pampa,25,90399,0.0
2018,1,La Pampa,23,82375,0.0
2018,2,La Pampa,23,82344,0.0
2018,3,La Pampa,23,83342,0.0
2018,4,La Pampa,24,85636,4.35
2017,1,La Pampa,20,68079,0.0
2017,2,La Pampa,20,69193,0.0
2017,3,La Pampa,22,75202,10.0
2017,4,La Pampa,23,81086,4.55
2016,1,La Pampa,19,63783,0.0
2016,2,La Pampa,19,75214,0.0
2016,3,La Pampa,20,66717,5.26
2016,4,La Pampa,20,67345,0.0
2015,1,La Pampa,18,59210,12.5
2015,2,La Pampa,18,60240,0.0
2015,3,La Pampa,19,61473,5.56
2015,4,La Pampa,19,62479,0.0
2014,1,La Pampa,15,46506,0.0
2014,2,La Pampa,16,47919,6.67
2014,3,La Pampa,18,54155,12.5
2014,4,La Pampa,16,49710,-11.11
2023,1,Jujuy,14,117981,0.0
2023,2,Jujuy,14,117442,0.0
2023,3,Jujuy,14,117377,0.0
2022,1,Jujuy,14,116509,0.0
2022,2,Jujuy,14,115314,0.0
2022,3,Jujuy,15,118823,7.14
2022,4,Jujuy,14,118218,-6.67
2021,1,Jujuy,14,110456,7.69
2021,2,Jujuy,14,111848,0.0
2021,3,Jujuy,14,111158,0.0
2021,4,Jujuy,14,113915,0.0
2020,1,Jujuy,11,94089,0.0
2020,2,Jujuy,12,94316,9.09
2020,3,Jujuy,13,106728,8.33
2020,4,Jujuy,13,105851,0.0
2019,1,Jujuy,11,83736,0.0
2019,2,Jujuy,11,86733,0.0
2019,3,Jujuy,11,88981,0.0
2019,4,Jujuy,11,88881,0.0
2018,1,Jujuy,5,44393,0.0
2018,2,Jujuy,5,45095,0.0
2018,3,Jujuy,5,44897,0.0
2018,4,Jujuy,11,90133,120.0
2017,1,Jujuy,5,43203,0.0
2017,2,Jujuy,5,42658,0.0
2017,3,Jujuy,5,43269,0.0
2017,4,Jujuy,5,43550,0.0
2016,1,Jujuy,5,40295,0.0
2016,2,Jujuy,5,43496,0.0
2016,3,Jujuy,5,42541,0.0
2016,4,Jujuy,5,42626,0.0
2015,1,Jujuy,5,36612,25.0
2015,2,Jujuy,5,37723,0.0
2015,3,Jujuy,5,39550,0.0
2015,4,Jujuy,5,39925,0.0
2014,1,Jujuy,4,33803,0.0
2014,2,Jujuy,4,34344,0.0
2014,3,Jujuy,4,33709,0.0
2014,4,Jujuy,4,35955,0.0
2023,1,Formosa,9,60985,-10.0
2023,2,Formosa,9,60350,0.0
2023,3,Formosa,9,61314,0.0
2022,1,Formosa,8,54548,0.0
2022,2,Formosa,11,67881,37.5
2022,3,Formosa,11,68538,0.0
2022,4,Formosa,10,61840,-9.09
2021,1,Formosa,8,50686,0.0
2021,2,Formosa,8,51551,0.0
2021,3,Formosa,8,52795,0.0
2021,4,Formosa,8,53663,0.0
2020,1,Formosa,7,46276,0.0
2020,2,Formosa,7,47932,0.0
2020,3,Formosa,8,49209,14.29
2020,4,Formosa,8,50206,0.0
2019,1,Formosa,7,45299,0.0
2019,2,Formosa,7,46751,0.0
2019,3,Formosa,7,46373,0.0
2019,4,Formosa,7,46711,0.0
2018,1,Formosa,5,32320,0.0
2018,2,Formosa,7,44546,40.0
2018,3,Formosa,7,44857,0.0
2018,4,Formosa,7,45204,0.0
2017,1,Formosa,5,29707,0.0
2017,2,Formosa,5,29958,0.0
2017,3,Formosa,5,31132,0.0
2017,4,Formosa,5,32055,0.0
2016,1,Formosa,4,28316,0.0
2016,2,Formosa,4,28836,0.0
2016,3,Formosa,4,29861,0.0
2016,4,Formosa,5,29518,25.0
2015,1,Formosa,4,26700,0.0
2015,2,Formosa,4,27053,0.0
2015,3,Formosa,4,27751,0.0
2015,4,Formosa,4,28091,0.0
2014,1,Formosa,4,25422,0.0
2014,2,Formosa,4,25600,0.0
2014,3,Formosa,4,25935,0.0
2014,4,Formosa,4,26208,0.0
2023,1,Entre Ríos,19,274878,0.0
2023,2,Entre Ríos,19,273947,0.0
2023,3,Entre Ríos,20,293293,5.26
2022,1,Entre Ríos,19,267926,5.56
2022,2,Entre Ríos,19,269352,0.0
2022,3,Entre Ríos,19,268959,0.0
2022,4,Entre Ríos,19,270974,0.0
2021,1,Entre Ríos,18,251963,5.88
2021,2,Entre Ríos,18,257632,0.0
2021,3,Entre Ríos,18,260375,0.0
2021,4,Entre Ríos,18,265046,0.0
2020,1,Entre Ríos,16,230292,-5.88
2020,2,Entre Ríos,16,234113,0.0
2020,3,Entre Ríos,17,241495,6.25
2020,4,Entre Ríos,17,247381,0.0
2019,1,Entre Ríos,16,233180,0.0
2019,2,Entre Ríos,17,234213,6.25
2019,3,Entre Ríos,17,236314,0.0
2019,4,Entre Ríos,17,239030,0.0
2018,1,Entre Ríos,14,196848,0.0
2018,2,Entre Ríos,14,199439,0.0
2018,3,Entre Ríos,15,204062,7.14
2018,4,Entre Ríos,16,222047,6.67
2017,1,Entre Ríos,13,180418,0.0
2017,2,Entre Ríos,13,182797,0.0
2017,3,Entre Ríos,13,185501,0.0
2017,4,Entre Ríos,14,193499,7.69
2016,1,Entre Ríos,13,174533,0.0
2016,2,Entre Ríos,13,189595,0.0
2016,3,Entre Ríos,13,181226,0.0
2016,4,Entre Ríos,13,180310,0.0
2015,1,Entre Ríos,12,166418,20.0
2015,2,Entre Ríos,12,169543,0.0
2015,3,Entre Ríos,13,172487,8.33
2015,4,Entre Ríos,13,174191,0.0
2014,1,Entre Ríos,10,134248,0.0
2014,2,Entre Ríos,10,135495,0.0
2014,3,Entre Ríos,10,136796,0.0
2014,4,Entre Ríos,10,140730,0.0
2023,1,Córdoba,27,1049972,0.0
2023,2,Córdoba,27,1067751,0.0
2023,3,Córdoba,27,1069334,0.0
2022,1,Córdoba,26,1003803,4.0
2022,2,Córdoba,26,1026435,0.0
2022,3,Córdoba,27,1038668,3.85
2022,4,Córdoba,27,1049660,0.0
