Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_conexion,Accesos por cada 100 hab,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Hasta 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros Mbps,Total suma Mbps
2014,2,Catamarca,24380,243,17,0,43,24683,6,24,24660,23,19,8844,13794,1915,111,0,0,0,24683
2014,2,Chaco,53321,9870,30,0,58,63279,5,20,63243,36,412,14854,41530,5418,1085,5,0,0,63304
2014,2,Chubut,51070,649,866,10960,6974,70519,12,41,68503,2016,2064,6582,61868,0,0,0,0,0,70514
2014,2,Córdoba,337825,234729,351,3673,374,576952,16,53,576747,205,2105,101598,429536,28698,14824,76,627,0,577464
2014,2,Corrientes,52883,8680,31,1309,55,62958,5,22,62925,33,20,15563,41219,5199,956,0,0,0,62957
2014,2,Entre Ríos,108900,21706,49,4795,133,135583,10,34,135468,115,2187,32781,86757,12564,1162,0,44,0,135495
2014,2,Formosa,20894,4628,0,0,78,25600,4,17,25535,65,2032,8218,13944,1321,85,0,0,0,25600
2014,2,Jujuy,30128,4161,23,40,9,34361,4,18,34359,2,1873,11233,18851,2305,82,0,0,0,34344
2014,2,La Pampa,15957,32600,513,5869,689,55628,16,49,55048,580,7032,6761,34089,18,5,4,10,0,47919
2014,2,La Rioja,15864,0,14,0,34,15912,4,16,15889,23,10,4785,9719,1337,61,0,0,0,15912
2014,2,Mendoza,148979,13030,2480,36,2282,166807,8,32,165046,1761,35,6,166710,31,10,5,10,0,166807
2014,2,Misiones,56933,17594,4,150,8,74689,6,23,74689,0,540,13644,53245,5924,1334,2,0,0,74689
2014,2,Neuquén,47767,29776,997,10765,2983,92288,15,50,90053,2235,1531,3206,79087,92,2289,2,30,0,86237
2014,2,Río Negro,64920,24944,876,3657,1560,95957,13,45,94812,1145,3468,5507,84978,78,1569,2,8,0,95610
2014,2,Salta,73841,17504,45,7,577,91974,7,28,91949,25,53,18818,64440,8293,388,0,0,0,91992
2014,2,San Juan,48161,451,722,1139,1173,51646,7,27,50891,755,10,507,51129,0,0,0,0,0,51646
2014,2,San Luis,11306,925,354,22,448,13055,2,9,12691,364,7,0,13045,0,0,1,2,0,13055
2014,2,Santa Cruz,18956,448,381,4118,3266,27169,8,29,26710,459,153,1637,25374,2,0,0,0,0,27166
2014,2,Santa Fe,324101,178495,3085,6041,636,512358,15,48,511753,605,8515,115197,353559,23939,10058,34,792,0,512094
2014,2,Santiago Del Estero,32820,4231,19,907,34,38011,4,16,38002,9,1231,9914,23842,2867,142,0,0,0,37996
2014,2,Tierra Del Fuego,21618,3008,648,1,2934,28209,19,64,27443,766,12,334,31198,2,0,0,0,0,31546
2014,2,Tucumán,131740,97,121,13,98,132069,8,33,131981,88,6,32714,84675,14101,559,4,0,0,132059
2014,1,Buenos Aires,1567685,1000879,120960,16528,33824,2739876,16,54,2725732,14144,8469,171244,2279875,121787,38923,206,4037,0,2624542
2014,1,Capital Federal,445569,820161,17767,1866,14555,1299918,42,112,1289204,10714,852,88825,1096050,70292,38797,54,6208,0,1301080
2014,1,Catamarca,24126,46,17,0,43,24232,6,24,24209,23,19,9147,13330,1672,64,0,0,0,24232
2014,1,Chaco,52971,9497,30,0,58,62556,5,20,62520,36,438,15849,40869,4644,741,5,0,0,62546
2014,1,Chubut,51066,539,866,10776,6974,70221,12,41,68205,2016,7452,10,61329,0,0,0,0,0,68791
2014,1,Córdoba,336841,225769,347,3585,368,566910,16,52,566705,205,2076,107705,423114,24112,9818,40,588,0,567453
2014,1,Corrientes,52565,8279,31,1306,55,62236,5,22,62203,33,20,16357,40742,4486,630,0,0,0,62235
2014,1,Entre Ríos,107883,21379,49,4887,133,134331,10,34,134216,115,2177,35206,85248,10828,746,0,43,0,134248
2014,1,Formosa,20774,4548,0,0,100,25422,4,17,25335,87,2062,8475,13685,1133,67,0,0,0,25422
2014,1,Jujuy,29765,4030,23,0,9,33827,4,18,33825,2,1832,11498,18415,2002,56,0,0,0,33803
2014,1,La Pampa,15826,31305,513,5848,701,54193,15,48,53601,592,7434,6535,32501,17,5,4,10,0,46506
2014,1,La Rioja,15663,0,14,0,34,15711,4,16,15688,23,10,5111,9390,1165,35,0,0,0,15711
2014,1,Mendoza,148970,12076,2480,37,2282,165845,8,31,164084,1761,35,6,166655,19,10,6,9,0,166740
2014,1,Misiones,56597,17191,4,150,8,73950,6,23,73950,0,545,14460,52852,5139,958,0,0,0,73954
2014,1,Neuquén,47790,28161,997,10381,3051,90380,14,49,88077,2303,4133,987,77148,84,1582,2,22,0,83958
2014,1,Río Negro,64886,24156,876,3576,1572,95066,13,44,93909,1157,4670,4618,84304,73,1062,1,8,0,94736
2014,1,Salta,73131,17538,45,8,568,91290,6,28,91265,25,53,19677,64061,7192,314,0,0,0,91297
2014,1,San Juan,48161,434,722,808,1173,51298,7,27,50543,755,531,2,51056,0,0,0,0,0,51589
2014,1,San Luis,11306,428,354,21,448,12557,2,9,12193,364,7,3,12544,0,1,0,2,0,12557
2014,1,Santa Cruz,18927,100,381,4092,3264,26764,8,28,26304,460,161,1625,24972,1,1,0,0,0,26760
2014,1,Santa Fe,322662,174296,3059,5951,644,506612,15,47,506000,612,8456,124468,345225,20328,6845,23,668,0,506013
2014,1,Santiago Del Estero,32567,3598,19,915,34,37133,4,16,37124,9,1234,10531,22817,2422,109,0,0,0,37113
2014,1,Tierra Del Fuego,21618,2837,648,1,2934,28038,19,63,27272,766,12,607,30902,6,0,0,0,0,31527
2014,1,Tucumán,129717,83,121,13,98,130032,8,33,129944,88,6,34672,83210,11779,362,3,0,0,130032
