Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Longitud,Latitud
SANTA FE,Las Colonias,Empalme San Carlos,82070040,0,0,0,0,0,0,0,13,13,-60.8127223355579,-31.5487780871674
SANTA FE,Las Colonias,Esperanza,82070050,1120,8092,0,48,0,3,0,422,9685,-60.9310068119638,-31.4505966144136
SANTA FE,Las Colonias,Felicia,82070060,0,0,0,0,0,0,0,433,433,-61.2128816673977,-31.246393987915
SANTA FE,Las Colonias,Franck,82070070,142,0,0,162,0,0,0,101,405,-60.9388945830321,-31.5888736174502
SANTA FE,Las Colonias,Grutly,82070080,93,0,0,0,0,0,0,21,114,-61.0727542695818,-31.2705026899597
SANTA FE,Las Colonias,Hipatia,82070090,0,0,0,0,0,0,0,53,53,-61.0327676754247,-31.1282518725208
SANTA FE,Las Colonias,Humboldt,82070100,229,0,0,24,2,0,0,195,450,-61.0825515659905,-31.4009210645041
SANTA FE,Las Colonias,La Pelada,82070120,0,0,0,106,0,0,0,96,202,-60.9718116807155,-30.8679477693336
SANTA FE,Las Colonias,Las Tunas,82070130,3,0,0,108,0,1,0,0,112,-60.9959287992772,-31.5722370638803
SANTA FE,Las Colonias,María Luisa,82070140,0,0,0,0,0,0,0,167,167,-60.9114327492504,-31.0126440481519
SANTA FE,Las Colonias,Matilde,82070150,88,0,0,0,0,0,0,68,156,-60.9818059784844,-31.7932160880623
SANTA FE,Las Colonias,Nuevo Torino,82070160,78,0,0,0,72,0,0,5,155,-61.235725734005,-31.3468823835409
SANTA FE,Las Colonias,Pilar,82070170,112,0,0,10,0,0,0,2,124,-61.2600249614063,-31.442015817123
SANTA FE,Las Colonias,Progreso,82070190,0,0,0,0,0,0,0,617,617,-60.990254156931,-31.1397689545802
SANTA FE,Las Colonias,Providencia,82070200,0,0,0,0,0,0,0,136,136,-61.0218281498813,-30.9845868369063
SANTA FE,Las Colonias,Sa Pereyra,82070210,54,0,0,0,0,0,0,3,57,-61.3782231110791,-31.5721513951563
