Año,Trimestre,Provincia,acceso_actual,nuevo_acceso,KPI
2014,3,Chubut,40.59867094427454,40.24927468450274,-0.86
2014,4,Chubut,40.24927468450274,37.61278068590792,-6.55
2015,1,Chubut,37.61278068590792,36.58246720458481,-2.74
2015,2,Chubut,36.58246720458481,36.81180991463324,0.63
2015,3,Chubut,36.81180991463324,36.89017827786587,0.21
2015,4,Chubut,36.89017827786587,36.0927055378499,-2.16
2016,1,Chubut,36.0927055378499,36.12438565556337,0.09
2016,2,Chubut,36.12438565556337,36.17869442878647,0.15
2016,3,Chubut,36.17869442878647,36.07290546427898,-0.29
2016,4,Chubut,36.07290546427898,35.662220237763016,-1.14
2017,1,Chubut,35.662220237763016,35.54601117914412,-0.33
2017,2,Chubut,35.54601117914412,46.21537746651841,30.02
2017,3,Chubut,46.21537746651841,51.46309626749354,11.35
2017,4,Chubut,51.46309626749354,53.71560488248906,4.38
2018,1,Chubut,53.71560488248906,54.90230333735512,2.21
2018,2,Chubut,54.90230333735512,56.39174585226903,2.71
2018,3,Chubut,56.39174585226903,42.61093609604538,-24.44
2018,4,Chubut,42.61093609604538,42.99773633717796,0.91
2019,1,Chubut,42.99773633717796,46.98798413626923,9.28
2019,2,Chubut,46.98798413626923,47.56624162293312,1.23
2019,3,Chubut,47.56624162293312,51.14501785514712,7.52
2019,4,Chubut,51.14501785514712,51.26848941909703,0.24
2020,1,Chubut,51.26848941909703,57.344613387235526,11.85
2020,2,Chubut,57.344613387235526,68.34389815720037,19.18
2020,3,Chubut,68.34389815720037,68.35189915825622,0.01
2020,4,Chubut,68.35189915825622,68.9942808881567,0.94
2021,1,Chubut,68.9942808881567,72.29410481936469,4.78
2021,2,Chubut,72.29410481936469,80.70973847657562,11.64
2021,3,Chubut,80.70973847657562,82.57340063871433,2.31
2021,4,Chubut,82.57340063871433,88.05274093835774,6.64
2022,1,Chubut,88.05274093835774,83.19,-5.52
2022,2,Chubut,83.19,84.38,1.43
2022,3,Chubut,84.38,85.57,1.41
2022,4,Chubut,85.57,85.89,0.37
2023,1,Chubut,85.89,82.49,-3.96
2023,2,Chubut,82.49,84.23,2.11
2014,1,Corrientes,22.31671671383888,22.575613003243586,1.16
2014,2,Corrientes,22.575613003243586,22.78753503515243,0.94
2014,3,Corrientes,22.78753503515243,23.56243099277512,3.4
2014,4,Corrientes,23.56243099277512,28.95019128190928,22.87
2015,1,Corrientes,28.95019128190928,29.584012668108493,2.19
2015,2,Corrientes,29.584012668108493,30.16741240901903,1.97
2015,3,Corrientes,30.16741240901903,30.33643144533882,0.56
2015,4,Corrientes,30.33643144533882,30.080785004133052,-0.84
2016,1,Corrientes,30.080785004133052,30.58016204661656,1.66
2016,2,Corrientes,30.58016204661656,31.066878826051184,1.59
2016,3,Corrientes,31.066878826051184,30.98107037649768,-0.28
2016,4,Corrientes,30.98107037649768,30.940600109644144,-0.13
2017,1,Corrientes,30.940600109644144,31.38612136835505,1.44
2017,2,Corrientes,31.38612136835505,32.16543574593796,2.48
2017,3,Corrientes,32.16543574593796,32.51511831118755,1.09
2017,4,Corrientes,32.51511831118755,32.66346087317512,0.46
2018,1,Corrientes,32.66346087317512,33.80975390881165,3.51
2018,2,Corrientes,33.80975390881165,34.24993887383215,1.3
2018,3,Corrientes,34.24993887383215,34.56627656869549,0.92
2018,4,Corrientes,34.56627656869549,35.13498688698812,1.65
2019,1,Corrientes,35.13498688698812,38.15558588418795,8.6
2019,2,Corrientes,38.15558588418795,38.48535113586719,0.86
2019,3,Corrientes,38.48535113586719,38.767440989262106,0.73
2019,4,Corrientes,38.767440989262106,38.7290799422309,-0.1
2020,1,Corrientes,38.7290799422309,40.30476267979574,4.07
2020,2,Corrientes,40.30476267979574,41.750749470464434,3.59
2020,3,Corrientes,41.750749470464434,42.42828394694903,1.62
2020,4,Corrientes,42.42828394694903,42.664128438821415,0.56
2021,1,Corrientes,42.664128438821415,43.5411637336848,2.06
2021,2,Corrientes,43.5411637336848,44.90088312664412,3.12
2021,3,Corrientes,44.90088312664412,45.51016102946347,1.36
2021,4,Corrientes,45.51016102946347,47.644635141502334,4.69
2022,1,Corrientes,47.644635141502334,48.35,1.48
2022,2,Corrientes,48.35,48.21,-0.29
2022,3,Corrientes,48.21,51.64,7.11
2022,4,Corrientes,51.64,52.05,0.79
2023,1,Corrientes,52.05,52.37,0.61
2023,2,Corrientes,52.37,52.78,0.78
2014,1,Córdoba,52.51784754400632,53.448126115626,1.77
2014,2,Córdoba,53.448126115626,54.23361028299935,1.47
2014,3,Córdoba,54.23361028299935,54.69689679332299,0.85
2014,4,Córdoba,54.69689679332299,54.69734650188214,0.0
2015,1,Córdoba,54.69734650188214,55.86916350781819,2.14
2015,2,Córdoba,55.86916350781819,57.08340378951846,2.17
2015,3,Córdoba,57.08340378951846,57.364881766079215,0.49
2015,4,Córdoba,57.364881766079215,55.283092783740216,-3.63
2016,1,Córdoba,55.283092783740216,57.54798052828644,4.1
2016,2,Córdoba,57.54798052828644,58.24381625803197,1.21
2016,3,Córdoba,58.24381625803197,57.696719154378975,-0.94
2016,4,Córdoba,57.696719154378975,57.65332959287443,-0.08
2017,1,Córdoba,57.65332959287443,58.973528908003566,2.29
2017,2,Córdoba,58.973528908003566,62.30700225296333,5.65
2017,3,Córdoba,62.30700225296333,63.33262565207773,1.65
2017,4,Córdoba,63.33262565207773,63.51716965201617,0.29
2018,1,Córdoba,63.51716965201617,63.2743661231958,-0.38
2018,2,Córdoba,63.2743661231958,64.24210026029336,1.53
2018,3,Córdoba,64.24210026029336,65.08926459112368,1.32
2018,4,Córdoba,65.08926459112368,65.5173840768055,0.66
2019,1,Córdoba,65.5173840768055,68.07130938789848,3.9
2019,2,Córdoba,68.07130938789848,68.59234901069021,0.77
2019,3,Córdoba,68.59234901069021,70.48295566244217,2.76
2019,4,Córdoba,70.48295566244217,70.6880744339108,0.29
2020,1,Córdoba,70.6880744339108,72.71358531242393,2.87
2020,2,Córdoba,72.71358531242393,75.22035723669207,3.45
2020,3,Córdoba,75.22035723669207,78.07960876338194,3.8
2020,4,Córdoba,78.07960876338194,78.59028062380018,0.65
2021,1,Córdoba,78.59028062380018,80.11518795931242,1.94
2021,2,Córdoba,80.11518795931242,81.2845665540848,1.46
2021,3,Córdoba,81.2845665540848,84.50941853046088,3.97
2021,4,Córdoba,84.50941853046088,85.75745356313551,1.48
2022,1,Córdoba,85.75745356313551,87.48,2.01
2022,2,Córdoba,87.48,88.31,0.95
2022,3,Córdoba,88.31,89.03,0.82
2022,4,Córdoba,89.03,88.84,-0.21
2023,1,Córdoba,88.84,90.13,1.45
2023,2,Córdoba,90.13,90.05,-0.09
2014,1,Entre Ríos,34.367121821250166,34.687432371459764,0.93
2014,2,Entre Ríos,34.687432371459764,34.981647333712985,0.85
2014,3,Entre Ríos,34.981647333712985,36.0254708519679,2.98
2014,4,Entre Ríos,36.0254708519679,42.06519337351208,16.77
2015,1,Entre Ríos,42.06519337351208,42.93197901645878,2.06
2015,2,Entre Ríos,42.93197901645878,43.67718163526334,1.74
2015,3,Entre Ríos,43.67718163526334,44.10854807300098,0.99
2015,4,Entre Ríos,44.10854807300098,43.84596814466226,-0.6
2016,1,Entre Ríos,43.84596814466226,44.73887454518738,2.04
2016,2,Entre Ríos,44.73887454518738,45.43514088447326,1.56
2016,3,Entre Ríos,45.43514088447326,45.208402854677,-0.5
2016,4,Entre Ríos,45.208402854677,44.907273687041226,-0.67
2017,1,Entre Ríos,44.907273687041226,45.38933102824724,1.07
2017,2,Entre Ríos,45.38933102824724,45.95812167017718,1.25
2017,3,Entre Ríos,45.95812167017718,47.885245293746834,4.19
2017,4,Entre Ríos,47.885245293746834,48.68120241785722,1.66
2018,1,Entre Ríos,48.68120241785722,49.20261187052838,1.07
2018,2,Entre Ríos,49.20261187052838,50.22201385837749,2.07
2018,3,Entre Ríos,50.22201385837749,54.37477348639939,8.27
2018,4,Entre Ríos,54.37477348639939,56.78815996169284,4.44
2019,1,Entre Ríos,56.78815996169284,57.47823458872391,1.22
2019,2,Entre Ríos,57.47823458872391,57.90009945796624,0.73
2019,3,Entre Ríos,57.90009945796624,57.99221691704514,0.16
2019,4,Entre Ríos,57.99221691704514,56.12006051437216,-3.23
2020,1,Entre Ríos,56.12006051437216,56.538654739709614,0.75
2020,2,Entre Ríos,56.538654739709614,58.1901640924315,2.92
2020,3,Entre Ríos,58.1901640924315,59.47430676097378,2.21
2020,4,Entre Ríos,59.47430676097378,60.439449728342346,1.62
2021,1,Entre Ríos,60.439449728342346,61.660264464787886,2.02
2021,2,Entre Ríos,61.660264464787886,62.17940145385769,0.84
2021,3,Entre Ríos,62.17940145385769,63.15536143616578,1.57
2021,4,Entre Ríos,63.15536143616578,63.70090347123158,0.86
2022,1,Entre Ríos,63.70090347123158,63.9,0.31
2022,2,Entre Ríos,63.9,63.67,-0.36
2022,3,Entre Ríos,63.67,64.01,0.53
2022,4,Entre Ríos,64.01,64.79,1.22
2023,1,Entre Ríos,64.79,64.43,-0.56
2023,2,Entre Ríos,64.43,68.84,6.84
2014,1,Formosa,17.418451079368708,17.54041175485166,0.7
2014,2,Formosa,17.54041175485166,17.771314831468263,1.32
2014,3,Formosa,17.771314831468263,17.956311361695214,1.04
2014,4,Formosa,17.956311361695214,18.12270367397183,0.93
2015,1,Formosa,18.12270367397183,18.36026720527858,1.31
2015,2,Formosa,18.36026720527858,18.83675177378525,2.6
2015,3,Formosa,18.83675177378525,19.06549151678632,1.21
2015,4,Formosa,19.06549151678632,19.041878369434937,-0.12
2016,1,Formosa,19.041878369434937,19.370070664564,1.72
2016,2,Formosa,19.370070664564,18.639708302862847,-3.77
2016,3,Formosa,18.639708302862847,19.84823607816392,6.48
2016,4,Formosa,19.84823607816392,19.842489178645863,-0.03
2017,1,Formosa,19.842489178645863,19.965076445261992,0.62
2017,2,Formosa,19.965076445261992,21.35038438007076,6.94
2017,3,Formosa,21.35038438007076,21.27097668924972,-0.37
2017,4,Formosa,21.27097668924972,21.40431025921144,0.63
2018,1,Formosa,21.40431025921144,29.434226520797,37.52
2018,2,Formosa,29.434226520797,29.576573428878444,0.48
2018,3,Formosa,29.576573428878444,29.73653915732,0.54
2018,4,Formosa,29.73653915732,29.67769463043193,-0.2
2019,1,Formosa,29.67769463043193,30.418236006943307,2.5
2019,2,Formosa,30.418236006943307,30.11243299777749,-1.01
2019,3,Formosa,30.11243299777749,30.471313480544048,1.19
2019,4,Formosa,30.471313480544048,30.228303962606848,-0.8
2020,1,Formosa,30.228303962606848,31.1394362262631,3.01
2020,2,Formosa,31.1394362262631,31.905623310186535,2.46
2020,3,Formosa,31.905623310186535,32.487381907596735,1.82
2020,4,Formosa,32.487381907596735,32.732955756327215,0.76
2021,1,Formosa,32.732955756327215,33.22548419322613,1.5
2021,2,Formosa,33.22548419322613,33.962033540684324,2.22
2021,3,Formosa,33.962033540684324,34.4545746388443,1.45
2021,4,Formosa,34.4545746388443,34.955686995751336,1.45
2022,1,Formosa,34.955686995751336,43.42,24.21
2022,2,Formosa,43.42,43.76,0.78
2022,3,Formosa,43.76,39.41,-9.94
2022,4,Formosa,39.41,38.79,-1.57
2023,1,Formosa,38.79,38.32,-1.21
2023,2,Formosa,38.32,38.86,1.41
2014,1,Jujuy,18.41535244687765,18.706060999413573,1.58
2014,2,Jujuy,18.706060999413573,18.368534215570367,-1.8
2014,3,Jujuy,18.368534215570367,19.59941818052116,6.7
2014,4,Jujuy,19.59941818052116,19.68971363262363,0.46
2015,1,Jujuy,19.68971363262363,20.287219077594944,3.03
2015,2,Jujuy,20.287219077594944,21.2703333470887,4.85
2015,3,Jujuy,21.2703333470887,21.47147379391073,0.95
2015,4,Jujuy,21.47147379391073,21.41001128856396,-0.29
2016,1,Jujuy,21.41001128856396,21.888281043576683,2.23
2016,2,Jujuy,21.888281043576683,22.605154265256864,3.28
2016,3,Jujuy,22.605154265256864,22.651387008241425,0.2
2016,4,Jujuy,22.651387008241425,22.756985962232346,0.47
2017,1,Jujuy,22.756985962232346,22.403415894624064,-1.55
2017,2,Jujuy,22.403415894624064,22.64536299508256,1.08
2017,3,Jujuy,22.64536299508256,22.742083716267025,0.43
2017,4,Jujuy,22.742083716267025,23.12126087567753,1.67
2018,1,Jujuy,23.12126087567753,23.432202729854477,1.34
2018,2,Jujuy,23.432202729854477,23.26370013719552,-0.72
2018,3,Jujuy,23.26370013719552,46.53226639132679,100.02
2018,4,Jujuy,46.53226639132679,46.40843874036665,-0.27
2019,1,Jujuy,46.40843874036665,44.511922790626045,-4.09
2019,2,Jujuy,44.511922790626045,44.322486842913605,-0.43
2019,3,Jujuy,44.322486842913605,45.37754633175065,2.38
2019,4,Jujuy,45.37754633175065,46.670230639987786,2.85
2020,1,Jujuy,46.670230639987786,47.887810227872784,2.61
2020,2,Jujuy,47.887810227872784,54.04441923820905,12.86
2020,3,Jujuy,54.04441923820905,53.45659123390888,-1.09
2020,4,Jujuy,53.45659123390888,55.63244789620541,4.07
2021,1,Jujuy,55.63244789620541,56.182157011467694,0.99
2021,2,Jujuy,56.182157011467694,55.6892647441935,-0.88
2021,3,Jujuy,55.6892647441935,56.921070514870486,2.21
2021,4,Jujuy,56.921070514870486,58.06462866426784,2.01
2022,1,Jujuy,58.06462866426784,57.32,-1.28
2022,2,Jujuy,57.32,58.91,2.77
2022,3,Jujuy,58.91,58.46,-0.76
2022,4,Jujuy,58.46,58.2,-0.44
2023,1,Jujuy,58.2,57.78,-0.72
2023,2,Jujuy,57.78,57.61,-0.29
2014,1,La Pampa,48.42532103828204,49.70759616034458,2.65
2014,2,La Pampa,49.70759616034458,55.78120173850417,12.22
2014,3,La Pampa,55.78120173850417,51.273133452228585,-8.08
2014,4,La Pampa,51.273133452228585,55.50803232733774,8.26
2015,1,La Pampa,55.50803232733774,56.70766522530004,2.16
2015,2,La Pampa,56.70766522530004,57.96395975091518,2.22
2015,3,La Pampa,57.96395975091518,58.75633720012275,1.37
2015,4,La Pampa,58.75633720012275,57.84086865504526,-1.56
2016,1,La Pampa,57.84086865504526,60.43686025737927,4.49
2016,2,La Pampa,60.43686025737927,61.73178543650905,2.14
2016,3,La Pampa,61.73178543650905,63.016182768654026,2.08
2016,4,La Pampa,63.016182768654026,62.66928104575163,-0.55
2017,1,La Pampa,62.66928104575163,63.49352648099681,1.32
2017,2,La Pampa,63.49352648099681,69.13993701142644,8.89
2017,3,La Pampa,69.13993701142644,71.04976106378558,2.76
2017,4,La Pampa,71.04976106378558,71.75163692275797,0.99
2018,1,La Pampa,71.75163692275797,71.04033787278055,-0.99
2018,2,La Pampa,71.04033787278055,71.75023651844843,1.0
2018,3,La Pampa,71.75023651844843,73.49404828314209,2.43
2018,4,La Pampa,73.49404828314209,76.35457433780647,3.89
2019,1,La Pampa,76.35457433780647,77.08313750288404,0.95
2019,2,La Pampa,77.08313750288404,77.45269423291748,0.48
2019,3,La Pampa,77.45269423291748,76.92418969170417,-0.68
2019,4,La Pampa,76.92418969170417,75.76678781291396,-1.5
2020,1,La Pampa,75.76678781291396,76.10158288987562,0.44
2020,2,La Pampa,76.10158288987562,79.26447706670275,4.16
2020,3,La Pampa,79.26447706670275,81.76793248945148,3.16
2020,4,La Pampa,81.76793248945148,81.77676345752207,0.01
2021,1,La Pampa,81.77676345752207,82.08000672325404,0.37
2021,2,La Pampa,82.08000672325404,84.27996309653611,2.68
2021,3,La Pampa,84.27996309653611,89.56734270241313,6.27
2021,4,La Pampa,89.56734270241313,91.66332531408716,2.34
2022,1,La Pampa,91.66332531408716,92.98,1.44
2022,2,La Pampa,92.98,96.59,3.88
2022,3,La Pampa,96.59,94.8,-1.85
2022,4,La Pampa,94.8,96.55,1.85
2023,1,La Pampa,96.55,98.35,1.86
2023,2,La Pampa,98.35,99.0,0.66
2014,1,La Rioja,16.294104815837528,16.502564816345664,1.28
2014,2,La Rioja,16.502564816345664,16.50671327406722,0.03
2014,3,La Rioja,16.50671327406722,17.01075088723615,3.05
2014,4,La Rioja,17.01075088723615,16.703201787413843,-1.81
2015,1,La Rioja,16.703201787413843,16.883190981963825,1.08
2015,2,La Rioja,16.883190981963825,17.151129442032545,1.59
2015,3,La Rioja,17.151129442032545,17.315778648410653,0.96
2015,4,La Rioja,17.315778648410653,16.83351837249417,-2.79
2016,1,La Rioja,16.83351837249417,16.878902611111524,0.27
2016,2,La Rioja,16.878902611111524,17.074559106484113,1.16
2016,3,La Rioja,17.074559106484113,16.45531638401623,-3.63
2016,4,La Rioja,16.45531638401623,16.19552414605418,-1.58
2017,1,La Rioja,16.19552414605418,16.203445806143563,0.05
2017,2,La Rioja,16.203445806143563,51.46525230494696,217.62
2017,3,La Rioja,51.46525230494696,51.56847440546175,0.2
2017,4,La Rioja,51.56847440546175,51.44351011244806,-0.24
2018,1,La Rioja,51.44351011244806,50.97789073923241,-0.91
2018,2,La Rioja,50.97789073923241,50.73304318059562,-0.48
2018,3,La Rioja,50.73304318059562,50.347993917417234,-0.76
2018,4,La Rioja,50.347993917417234,50.184587883262736,-0.32
2019,1,La Rioja,50.184587883262736,48.70493914424316,-2.95
2019,2,La Rioja,48.70493914424316,47.94290512174643,-1.56
2019,3,La Rioja,47.94290512174643,47.13589011052434,-1.68
2019,4,La Rioja,47.13589011052434,46.346631384166976,-1.67
2020,1,La Rioja,46.346631384166976,49.83993501839552,7.54
2020,2,La Rioja,49.83993501839552,50.11811323630268,0.56
2020,3,La Rioja,50.11811323630268,50.11061211701148,-0.01
2020,4,La Rioja,50.11061211701148,49.80693519079345,-0.61
2021,1,La Rioja,49.80693519079345,76.9786615851933,54.55
2021,2,La Rioja,76.9786615851933,77.26016061386845,0.37
2021,3,La Rioja,77.26016061386845,77.9234900964576,0.86
2021,4,La Rioja,77.9234900964576,78.77459866564503,1.09
2022,1,La Rioja,78.77459866564503,80.14,1.73
2022,2,La Rioja,80.14,80.66,0.65
2022,3,La Rioja,80.66,79.86,-0.99
2022,4,La Rioja,79.86,79.74,-0.15
2023,1,La Rioja,79.74,80.01,0.34
2023,2,La Rioja,80.01,80.44,0.54
2014,1,Mendoza,31.91312298660578,32.098238150241194,0.58
2014,2,Mendoza,32.098238150241194,32.313179561655694,0.67
2014,3,Mendoza,32.313179561655694,32.63838187615034,1.01
2014,4,Mendoza,32.63838187615034,32.36588756051825,-0.83
